COD INEP;Escola;COD Municipio;Cidade;COD UF;UF;Média do IDEB - anos finais;Média do IDEB - Anos iniciais;Mèdia de aprovação 6 ao 9 ano;Mèdia de aprovação 1 ao 5 ano
15057860;E M E I F DR AUGUSTO MONTENEGRO;1501709;Bragança;15;PA;3,5;;94,7;
15058832;EEEFM ALBINO CARDOSO;1501709;Bragança;15;PA;3,1;;82,1;
15058786;EEEFM DOMINGAS DA COSTA SOUSA;1501709;Bragança;15;PA;2,8;;72,6;
15058107;E M E I F REGINA GONCALVES FERREIRA;1501709;Bragança;15;PA;2,9;;84,3;
15056929;EEEF PROFA ARGENTINA PEREIRA;1501709;Bragança;15;PA;3,1;;77,0;
15056783;EEEFM LUIZ PAULINO MARTIRES;1501709;Bragança;15;PA;3,6;;81,7;
15584658;E M E I F CASA DOS ANJOS;1501709;Bragança;15;PA;3,7;3,3;92,7;87,5
15058751;EEEF CASA DA AMIZADE;1501709;Bragança;15;PA;3,9;;93,1;
15168786;E M E I F MARIA FRANCISCA DE PAULA FELIPE;1501709;Bragança;15;PA;3,8;;93,3;
15056813;EEEFM PROF BOLIVAR BORDALLO DA SILVA;1501709;Bragança;15;PA;3,6;;86,9;
15056767;EEEFM AUGUSTO CORREA;1501709;Bragança;15;PA;2,8;;76,1;
15576086;E M E I F PROF FERNANDO DE BRITO;1501709;Bragança;15;PA;3,1;;91,0;
15057259;EEEFM LEANDRO LOBAO DA SILVEIRA;1501709;Bragança;15;PA;2,3;;56,7;
15559327;E M E F AGRICOLA DR EDGAR DE SOUZA CORDEIRO;1501709;Bragança;15;PA;4,2;;90,6;
15058301;E M E I F PE PAULO COROLLI;1501709;Bragança;15;PA;3,1;4,0;87,3;82,6
15057119;EEEFM CEL ALUIZIO PINHEIRO FERREIRA;1501709;Bragança;15;PA;2,8;4,1;80,6;92,0
15057194;EEEFM PROF YOLANDA CHAVES;1501709;Bragança;15;PA;3,1;;83,1;
15057127;EEEFM MARIO QUEIROZ DO ROSARIO;1501709;Bragança;15;PA;3,4;;76,3;
15172163;EMEF ANDRE ROSA DE MELO;1501709;Bragança;15;PA;3,3;;96,59999999999998;
15527409;EEEFM RIO CAETE;1501709;Bragança;15;PA;3,6;;82,5;
15057305;EEEFM PADRE LUIZ GONZAGA;1501709;Bragança;15;PA;3,9;;87,2;
15057542;E M E I F BRASILIANO FELICIO DA SILVA;1501709;Bragança;15;PA;3,1;3,9;89,4;84,5
15056791;EEEFM MANOEL JULIAO GARCIA CASTANHO;1501709;Bragança;15;PA;2,6;;71,7;
15057763;E M E I F MANOEL GREGORIO DE SOUSA QUADROS;1501709;Bragança;15;PA;2,7;;88,9;
15057135;EEEFM MONSENHOR MANCIO RIBEIRO;1501709;Bragança;15;PA;2,7;;73,0;
15058271;E M E I F ANTONIA CAVALCANTE DO NASCIMENTO;1501709;Bragança;15;PA;3,1;;88,7;
15058018;E M E I F JOAO BEZERRA CASTELO BRANCO;1501709;Bragança;15;PA;3,6;;92,5;
15057267;EEEFM PROF MARIA DE NAZARE CEZAR PINHEIRO;1501709;Bragança;15;PA;2,7;;74,7;
15058220;E M E F CRISTINA MARIA DOS SANTOS;1501709;Bragança;15;PA;3,1;;91,0;
15120139;E M E F RAIMUNDO MARTINS FILHO;1501709;Bragança;15;PA;;3,5;;75,8
15057046;EEEFM DO ROCHA;1501709;Bragança;15;PA;;3,6;;81,7
15058778;EEEF EXTERNATO SANTO ANTONIO;1501709;Bragança;15;PA;;3,9;;83,4
15540332;EEEF SANTA TEREZINHA;1501709;Bragança;15;PA;;5,7;;96,6
15559033;E M E I F DOMINGOS DE SOUZA MELO;1501709;Bragança;15;PA;;3,5;92,4;80,5
15057704;E M E I F EMILIO DIAS RAMOS;1501709;Bragança;15;PA;;4,8;;82,2
15058387;E M E F PROF RAIMUNDO FERREIRA;1501709;Bragança;15;PA;;3,7;;88,0
