COD INEP;Escola;COD Municipio;Cidade;COD UF;UF;Média do IDEB - anos finais;Média do IDEB - Anos iniciais;Mèdia de aprovação 6 ao 9 ano;Mèdia de aprovação 1 ao 5 ano
29209528;COLEGIO MUNICIPAL DE MARIA DA SILVA;2919801;Macaúbas;29;BA;4,9;;97,8;
29459591;ESCOLA MUNICIPAL DE EDUCACAO BASICA VEREADOR MANOEL JOAO PEREIRA;2919801;Macaúbas;29;BA;4,0;;82,6;
29416264;COLEGIO MUNICIPAL SELMA NUNES;2919801;Macaúbas;29;BA;5,7;6,6;91,9;92,2
29208327;COLEGIO MUL LEOBINO BARBOSA DE OLIVEIRA;2919801;Macaúbas;29;BA;5,4;;95,7;
29360668;COLEGIO MUNICIPAL JOSE DOS SANTOS MEIRA;2919801;Macaúbas;29;BA;4,2;5,6;82,4;91,5
29208360;ESCOLA FAMILIA AGRICOLA DE MACAUBAS DE ENSINO FUNDAMENTAL;2919801;Macaúbas;29;BA;3,7;;86,0;
29209455;COLEGIO MUNICIPAL DE 1 GRAU CANATIBA;2919801;Macaúbas;29;BA;3,3;3,9;84,1;94,3
29208661;ESC MUL DE PAJEU;2919801;Macaúbas;29;BA;6,0;;96,6;
29208947;COLEGIO MUNICIPAL JOAQUIM MARQUES;2919801;Macaúbas;29;BA;4,7;4,8;93,0;92,1
29208572;ESC MUL DE CURRAL NOVO;2919801;Macaúbas;29;BA;4,4;;100,0;
29209730;COLEGIO MUL DE CURRALINHO;2919801;Macaúbas;29;BA;4,2;;85,7;
29209706;COLEGIO MUNICIPAL LAUDELINO BATISTA NOBRE;2919801;Macaúbas;29;BA;4,3;5,4;85,7;90,6
29209021;ESCOLA MUL PADRE DURVAL SOARES DE SALES;2919801;Macaúbas;29;BA;3,2;5,0;75,5;92,5
29208530;COLEGIO MUNICIPAL DE CATULES;2919801;Macaúbas;29;BA;3,9;4,7;90,5;100,0
29208750;COLEGIO MUNICIPAL MIGUEL ANTONIO PEREIRA;2919801;Macaúbas;29;BA;3,3;;67,7;
29208971;COLEGIO MUNICIPAL DE GAMELEIRA;2919801;Macaúbas;29;BA;4,4;;96,1;
29384451;COLEGIO MUNICIPAL DE MACAUBINHAS;2919801;Macaúbas;29;BA;3,7;;88,1;
29209501;ESC MUL JOSE FIRMINO DE SOUZA;2919801;Macaúbas;29;BA;3,1;;85,4;
29208459;ESCOLA MUNICIPAL DE 1º GRAU ANDRE NONATO DE SOUZA;2919801;Macaúbas;29;BA;3,3;2,9;86,0;73,1
29208335;ESCOLA MUNICIPAL PROF FLAMIANO ALVES PIMENTA;2919801;Macaúbas;29;BA;4,9;5,1;84,7;95,5
29208726;COLEGIO MUNICIPAL ENEDINO JOAQUIM DE SOUSA;2919801;Macaúbas;29;BA;4,2;;93,0;
29209013;COLEGIO MUNICIPAL DE LAGOA DO MAURICIO;2919801;Macaúbas;29;BA;3,6;;76,9;100,0
29208319;COLEGIO MUNICIPAL JOSE RODRIGUES SILVA;2919801;Macaúbas;29;BA;5,1;7,7;97,4;100,0
29208939;COLEGIO MUNICIPAL DE ACUDE;2919801;Macaúbas;29;BA;4,1;4,8;89,5;86,2
29409829;ESCOLA MUNICIPAL SELMA NUNES;2919801;Macaúbas;29;BA;;5,3;;96,5
29208343;ESCOLA MUNICIPAL ALOYSIO SHORT;2919801;Macaúbas;29;BA;;5,9;;96,3
29423678;COLEGIO MUNICIPAL JOSE ARAUJO DE SOUZA;2918100;Jeremoabo;29;BA;3,4;;69,8;
29113083;ESC MUL MANOEL CARVALHO SANTANA;2918100;Jeremoabo;29;BA;3,0;;65,9;69,6
29112737;ESCOLA MUNICIPAL LUIS EDUARDO MAGALHAES;2918100;Jeremoabo;29;BA;3,0;;76,8;
29113458;ESCOLA MUL EVARISTO CARDOSO VARJAO;2918100;Jeremoabo;29;BA;2,5;2,9;66,7;71,0
29112680;COLEGIO MUNICIPAL SAO JOAO BATISTA;2918100;Jeremoabo;29;BA;3,3;4,0;71,2;74,4
29113857;EE-COLEGIO ESTADUAL CORONEL JOAO SA - MUNICIPALIZADO;2918100;Jeremoabo;29;BA;3,3;;75,9;
29112710;ESCOLA MUNICIPAL DR HAILTON JOSE DE BRITO;2918100;Jeremoabo;29;BA;2,7;3,6;56,199999999999996;88,7
29113865;ESC MUL CORDOLINO CERQUEIRA CAMPOS;2918100;Jeremoabo;29;BA;4,1;3,7;91,9;78,6
29112907;ESCOLA MUL CIRICA;2918100;Jeremoabo;29;BA;3,5;;82,1;
29113440;ESCOLA MUL BENTO DE SA CARVALHO;2918100;Jeremoabo;29;BA;;2,9;;75,9
29112826;ESC MUL VEREADOR JOAO CARVALHO;2918100;Jeremoabo;29;BA;;3,0;;76,5
29113431;ESCOLA MONSENHOR JOSE MAGALHAES;2918100;Jeremoabo;29;BA;;3,6;;76,5
29113393;ESCOLA MUNICIPAL JULIANA MELO DE CARVALHO;2918100;Jeremoabo;29;BA;;3,9;;87,09999999999998
29113733;ESCOLA MUNICIPAL DO ROMPE GIBAO;2918100;Jeremoabo;29;BA;;2,9;;69,2
29113466;ESCOLA MUL JOAO PAULO II;2918100;Jeremoabo;29;BA;;4,1;;81,9
29113423;ESCOLA LUZIA EULINA SA;2918100;Jeremoabo;29;BA;;4,3;;80,9
29113873;ESCOLA MUNICIPAL DE AGUA BRANCA;2918100;Jeremoabo;29;BA;;4,5;;81,3
29112745;ESCOLA ESTADUAL JOSE NOLASCO DE CARVALHO MUNICIPALIZADA;2918100;Jeremoabo;29;BA;;3,9;;88,2
29112850;ESC MUL ANTENOR AMARO NETO;2918100;Jeremoabo;29;BA;;;74,8;86,6
29389917;ESCOLA MUNICIPAL PRAXEDES BALDOINO DE SANTANA;2918100;Jeremoabo;29;BA;;;;65,6
29415985;ESCOLA MUNICIPAL DO ALTO DA TAPERA;2918100;Jeremoabo;29;BA;;;;84,6
29113547;ESCOLA MUNIC MAJOR ANTONIO MARQUES BRAGA;2918100;Jeremoabo;29;BA;;;;75,0
29338514;ESCOLA MUNICIPAL DARIO GALVAO DE QUEIROZ;2932903;Valença;29;BA;3,3;;60,39999999999999;
29290775;ESCOLA MUNICIPAL AUGUSTA MESSIAS GUIMARAES;2932903;Valença;29;BA;4,2;;83,7;
29448433;ESCOLA MUNICIPAL HELENA CAMPELO DE QUEIROZ;2932903;Valença;29;BA;2,7;;53,89999999999999;
