COD INEP;Escola;COD Municipio;Cidade;COD UF;UF;Média do IDEB - anos finais;Média do IDEB - Anos iniciais;Mèdia de aprovação 6 ao 9 ano;Mèdia de aprovação 1 ao 5 ano
35499559;EUCLYDES FERREIRA PROF EMEF;3510500;Caraguatatuba;35;SP;5,4;6,0;96,8;98,4
35565817;LUIZ SILVAR DO PRADO PROFESSOR EMEF;3510500;Caraguatatuba;35;SP;4,9;;98,0;
35909919;ANGELO BARROS DE ARAUJO PROFESSOR;3510500;Caraguatatuba;35;SP;5,7;;100,0;
35035865;MARIA ESTER DAS NEVES DUTRA DAMASIO PROFESSORA;3510500;Caraguatatuba;35;SP;5,3;;100,0;
35045147;ANTONIO ALVES BERNARDINO;3510500;Caraguatatuba;35;SP;5,2;;98,3;
35435879;MARIA MORAES DE OLIVEIRA PROFA EMEF;3510500;Caraguatatuba;35;SP;6,2;;100,0;
35375172;RICARDO LUQUES SAMMARCO SERRA PROF EMEFEBS;3510500;Caraguatatuba;35;SP;5,9;7,6;100,0;100,0
35225903;MARIA APARECIDA UJIO PROFA EMEF;3510500;Caraguatatuba;35;SP;5,9;7,3;100,0;98,3
35048537;COLONIA DOS PESCADORES;3510500;Caraguatatuba;35;SP;5,5;;98,6;
35225976;MARIA THEREZA DE SOUZA CASTRO PROFA EMEF;3510500;Caraguatatuba;35;SP;5,0;5,7;100,0;100,0
35300603;EDNA MARIA NOGUEIRA FERRAZ PROFA CENTRO INT ED FUND INF;3510500;Caraguatatuba;35;SP;5,4;;99,4;
35243450;LUIZ RIBEIRO MUNIZ PROF EMEF;3510500;Caraguatatuba;35;SP;5,7;;99,4;
35011400;ISMAEL IGLESIAS;3510500;Caraguatatuba;35;SP;5,2;;99,0;
35225939;ANTONIA ANTUNES AROUCA PROFA EMEF;3510500;Caraguatatuba;35;SP;5,9;;99,5;
35447785;ANTONIO DE FREITAS AVELAR PROF EMEF;3510500;Caraguatatuba;35;SP;6,0;;100,0;
35039559;MARIO TROMBINI COMENDADOR;3510500;Caraguatatuba;35;SP;5,200000000000001;;100,0;
35243449;ANTONIA RIBEIRO DA SILVA PROFA CIEFI;3510500;Caraguatatuba;35;SP;;6,9;;100,0
35200359;EMEI EMEF PROF JOAO BENEDITO MARCONDES;3510500;Caraguatatuba;35;SP;;6,8;;99,8
35225952;EMEI EMEF CARLOS ALTERO ORTEGA;3510500;Caraguatatuba;35;SP;;7,0;;98,9
35005336;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PROFESSORA JANE URBANO FOCESI;3510500;Caraguatatuba;35;SP;;6,3;;99,4
35225940;EMEI EMEF PROFA AIDA DE ALMEIDA CASTRO GRAZIOLI;3510500;Caraguatatuba;35;SP;;6,900000000000001;;100,0
35208361;EMEI EMEF MASAKO SONE;3510500;Caraguatatuba;35;SP;;6,2;;100,0
35215077;CARLOS DE ALMEIDA RODRIGUES DR EMEF;3510500;Caraguatatuba;35;SP;;7,700000000000001;;99,8
35215089;EMEI EMEF PROF JOAO BAPTISTA GARDELIN;3510500;Caraguatatuba;35;SP;;7,2;;100,0
35225988;GERALDO DE LIMA PROF EMEF;3510500;Caraguatatuba;35;SP;;5,9;;100,0
35495037;MARIA APARECIDA DE CARVALHO PROFA EMEF;3510500;Caraguatatuba;35;SP;;6,6;;97,8
35226002;EMEI EMEF PEDRO JOAO DE OLIVEIRA;3510500;Caraguatatuba;35;SP;;6,9;;100,0
35222324;EMEI EMEF PROF LUCIO JACINTO DOS SANTOS;3510500;Caraguatatuba;35;SP;;6,700000000000001;;100,0
35223098;EMEI EMEF PROF ALAOR XAVIER JUNQUEIRA;3510500;Caraguatatuba;35;SP;;6,5;;99,2
35225997;JORGE PASSOS PROF EMEF;3510500;Caraguatatuba;35;SP;;7,1;;99,5
35208346;EMEI EMEF BERNARDO FERREIRA LOUZADA;3510500;Caraguatatuba;35;SP;;6,4;;100,0
35208334;EMEI EMEF BENEDITO INACIO SOARES;3510500;Caraguatatuba;35;SP;;7,1;;99,8
35225964;OSWALDO FERREIRA PROF EMEF;3510500;Caraguatatuba;35;SP;;6,2;;98,5
35402862;ADOLFINA LEONOR SOARES DOS SANTOS PROFA CIEFI;3510500;Caraguatatuba;35;SP;;;;99,0
41389565;JOAO NERLI DA CRUZ C E PROF EF M;4101804;Araucária;41;PR;5,0;;90,2;
41157974;CECILIA MEIRELES C E EF M;4101804;Araucária;41;PR;5,4;;94,0;
41158059;MONTEIRO LOBATO C E EF M;4101804;Araucária;41;PR;5,4;;94,4;
41389255;JOANA GURSKI C E C EF M;4101804;Araucária;41;PR;5,7;;98,9;
41123549;ELIZABETH WERKA E M IRMA EI EF;4101804;Araucária;41;PR;4,9;5,9;89,4;93,2
41123689;LINCOLN S COIMBRA C E EF M;4101804;Araucária;41;PR;4,8;;88,90000000000002;
