COD INEP;Escola;COD Municipio;Cidade;COD UF;UF;Alunos na região urbana;Alunos na região rural;Total de alunos que não reside em localização diferenciada;Total de alunos residente em área remanescente de quilombo;Total de alunos residente em área indígena;Total de alunos residente em área de assentamento;Total de alunos que não utilizam transporte escolar público;Total de alunos que utilizam transporte escolar público;Total de alunos que não utilizam Tração Animal;Total de alunos que utilizam Tração Animal
29146925;ESCOLA MARIA ANUNCIACAO DO NASCIMENTO;2930501;Serrinha;29;BA;10,0;115,0;10,0;;;;1,0;124,0;124,0;
29146569;ESCOLA MUNICIPAL JOAO DE LIMA CARNEIRO;2930501;Serrinha;29;BA;7,0;152,0;4,0;;;;;159,0;159,0;
29145988;ESCOLA ANTONIO ALVES DA SILVA FILHO;2930501;Serrinha;29;BA;5,0;86,0;3,0;;;;9,0;82,0;82,0;
29443652;ESCOLA CLEON PIMENTEL FERREIRA;2930501;Serrinha;29;BA;8,0;53,0;1,0;;;;;61,0;61,0;
29146470;ESCOLA MUNICIPAL AURELINO VENANCIO DE ARAUJO;2930501;Serrinha;29;BA;2,0;67,0;5,0;;;;4,0;65,0;65,0;
29146674;ESCOLA MUNICIPAL JOEL ALVES DE MORAES;2930501;Serrinha;29;BA;4,0;131,0;14,0;;;;;135,0;135,0;
29145791;ESCOLA PLINIO CARNEIRO;2930501;Serrinha;29;BA;322,0;88,0;23,0;;;;311,0;99,0;99,0;
29418259;ESCOLA MUNICIPAL PROFESSORA MARIA DALVA DE OLIVEIRA;2930501;Serrinha;29;BA;21,0;133,0;18,0;;;;;154,0;154,0;
29146135;ESCOLA MUNICIPAL NOSSA SENHORA DA CONCEICAO APARECIDA;2930501;Serrinha;29;BA;39,0;147,0;16,0;;;;51,0;135,0;135,0;
29146615;ESCOLA ERALDO TINOCO;2930501;Serrinha;29;BA;8,0;67,0;5,0;;;;;75,0;75,0;
29145864;ESCOLA MUNICIPAL DIONISIO FRANCISCO DA SILVA;2930501;Serrinha;29;BA;18,0;215,0;14,0;;;;14,0;219,0;219,0;
