COD INEP;Escola;COD Municipio;Cidade;COD UF;UF;Alunos na região urbana;Alunos na região rural;Total de alunos que não reside em localização diferenciada;Total de alunos residente em área remanescente de quilombo;Total de alunos residente em área indígena;Total de alunos residente em área de assentamento;Total de alunos que não utilizam transporte escolar público;Total de alunos que utilizam transporte escolar público;Total de alunos que não utilizam Tração Animal;Total de alunos que utilizam Tração Animal;Média do IDEB - anos finais;Média do IDEB - Anos iniciais
41015428;ANTONIO T OLIVEIRA C E PREF EF M;4104303;Campo Mourão;41;PR;330,0;6,0;326,0;;;;316,0;20,0;20,0;;5,1;
41015509;CASTRO ALVES E M EI EF;4104303;Campo Mourão;41;PR;95,0;5,0;94,0;;;;100,0;;;;;5,2
41378644;DOMINGOS J DE SOUZA E M PROF EI EF;4104303;Campo Mourão;41;PR;372,0;4,0;362,0;;;;365,0;11,0;11,0;;;5,3
41015690;JAELSON BIACIO C E DO EC PROF EF M;4104303;Campo Mourão;41;PR;16,0;39,0;53,0;;;;18,0;37,0;37,0;;5,6;
41015916;COLEGIO VICENTINO SANTA CRUZ - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO;4104303;Campo Mourão;41;PR;564,0;11,0;16,0;;;;573,0;2,0;2,0;;;
41015380;COLEGIO ADVENTISTA ED INF ENS FUND E MEDIO;4104303;Campo Mourão;41;PR;373,0;15,0;1,0;;;;384,0;4,0;4,0;;;
41015835;PARIGOT DE SOUZA E M EI EF;4104303;Campo Mourão;41;PR;297,0;53,0;346,0;;;;273,0;77,0;77,0;;;6,7
41015851;PAULO VI E M EI EF;4104303;Campo Mourão;41;PR;270,0;11,0;271,0;;;;260,0;21,0;21,0;;;5,6
41015797;MONTEIRO LOBATO E M EI EF;4104303;Campo Mourão;41;PR;424,0;10,0;421,0;;;;416,0;18,0;18,0;;;6,7
41015827;OSVALDO CRUZ C E DR EF M;4104303;Campo Mourão;41;PR;155,0;70,0;219,0;;;;141,0;84,0;84,0;;;
41161475;CLARINHA WENCEL CASIMIRO E M PROFª;4104303;Campo Mourão;41;PR;121,0;3,0;1,0;;;;124,0;;;;;
