COD INEP;Escola;COD Municipio;Cidade;COD UF;UF;Total de escolas sem ensino fundamental - anos iniciais;Total de escolas com ensino fundamental - anos iniciais;Total de escolas sem Ensino Fundamental - Anos finais;Total de escolas com Ensino Fundamental - Anos finais;Total de escolas que não tem abastecimento de água da rede pública;Total de escolas que tem abastecimento de água da rede pública;Total de escolas que não não possuem abastecimento de água;Total de escolas que não possuem abastecimento de água;Total de escolas que não não possuem energia elétrica;Total de escolas que não possuem energia elétrica;Total de escolas que não possuem esgoto sanitário da rede pública;Total de escolas que possuem esgoto sanitário da rede pública;Total de escolas que não possuem coleta de lixo periódica;Total de escolas que possuem coleta de lixo periódica;Total de escolas que não possuem laboratório de informática;Total de escolas que possuem laboratório de informática;Total de escolas que não possuem laboratório de ciências;Total de escolas que possuem laboratório de ciências;Total de escolas que não possuem sala para atendimento educacional especializado;Total de escolas que possuem sala para atendimento educacional especializado;Total de escolas que não possuem quadra de esportes;Total de escolas que possuem quadra de esportes;Total de escolas que não possuem biblioteca e/ou sala de leitura;Total de escolas que possuem biblioteca e/ou sala de leitura;Total de de salas de aulas utilizadas na escola;Total de escolas que não possuem equipamento de som;Total de escolas que possuem equipamento de som;Total de escolas que não possuem projetor multimídia;Total de escolas que possuem projetor multimídia;Total de escolas que não possuem acesso à internet;Total de escolas que possuem acesso à internet;Total de escolas que não oferecem AEE;Total de escolas que oferecem AEE não exclusivamente;Total de escolas que oferecem AEE exclusivamente;Total de escolas que não oferecem atividade complementar;Total de escolas que oferecem atividade complementar não exclusivamente;Total de escolas que oferecem atividade complementar exclusivamente;Total de escolas que não possuem ensino fundamental organizado em ciclos;Total de escolas que possuem ensino fundamental organizado em ciclos;Total de escolas fora de localização diferenciada;Total de escolas localizadas em assentamento;Total de escolas localizadas em terra indígena;Total de escolas localizadas em terras remanescentes de quilombos;Total de escolas sem ensino organizado em Alternância;Total de escolas com ensino organizado em Alternância;Total de salas de aulas climatizadas na escola;Total de escolas que não possuemdesktop em uso pelos alunos;Total de escolas que possuem desktop em uso pelos alunos;Total de escolas que não possuem notebook em uso pelos alunos;Total de escolas que possuem notebook em uso pelos alunos;Total de escolas que não possuem tablets em uso pelos alunos;Total de escolas que possuem tablets em uso pelos alunos;Total de escolas que não possuem acesso à internet para os alunos;Total de escolas que possuem acesso à internet para os alunos;Total de escolas que não possuem acesso à internet para uso administrativo;Total de escolas que possuem acesso à internet para uso administrativo;Total de escolas que não possuem acesso à internet para uso nos processos de ensino e aprendizagem;Total de escolas que possuem acesso à internet para uso nos processos de ensino e aprendizagem;Total de escolas que não possuem acervo multimídia;Total de escolas que possuem acervo multimídia;Total de escolas que não possuem instrumentos musicais para conjunto, banda / fanfarra / aulas de música;Total de escolas que possuem instrumentos musicais para conjunto, banda / fanfarra / aulas de música;Média do IDEB - anos finais;Média do IDEB - Anos iniciais
24020672;ESCOLA ESTADUAL VICENCIA RAQUEL;2414100;Tenente Ananias;24;RN;1,0;;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;2;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;2;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;1,0;;4,1;
24020729;UNIDADE DE ENSINO ANTONIO FORTUNATO DOS SANTOS;2414100;Tenente Ananias;24;RN;;1,0;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1;1,0;;1,0;;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;;
24020966;UNIDADE DE ENSINO REGINA FAUSTA DINIZ;2414100;Tenente Ananias;24;RN;;1,0;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1;1,0;;1,0;;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;;1,0;1,0;;1,0;;1,0;;1,0;;;
24020893;UNIDADE DE ENSINO MANOEL PIRES DE SOUSA;2414100;Tenente Ananias;24;RN;;1,0;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;1,0;;1,0;;2;1,0;;1,0;;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;;
24020931;ESC MUL JOAQUIM BOAVENTURA DO NASCIMENTO;2414100;Tenente Ananias;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;;1,0;1,0;;1,0;;5;;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;1,0;;;5,4
24310301;INSTITUTO DE EDUC INFANTIL MUNDO DO SABER;2414100;Tenente Ananias;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;1,0;;1,0;;1,0;;5;;1,0;1,0;;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;5;1,0;;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;1,0;;;
24020796;UNIDADE DE ENSINO DANIEL GALDINO DUARTE;2414100;Tenente Ananias;24;RN;;1,0;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;1,0;;1,0;;1;1,0;;1,0;;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;;
24020648;ESC EST ACAD MAURO ABRANTES ENSINO FUNDAMENTAL;2414100;Tenente Ananias;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;8;;1,0;;1,0;1,0;;1,0;;;;1,0;;1,0;;1,0;;;;1,0;;4;;1,0;;1,0;;1,0;1,0;;1,0;;1,0;;1,0;;;1,0;;5,0
24020818;ESC MUL FRANCISCO EVILASIO A DE SOUZA;2414100;Tenente Ananias;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;;1,0;1,0;;;1,0;4;;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;1,0;;;5,7
24020826;UNIDADE DE ENSINO JOAQUINA PINTO LOPES;2414100;Tenente Ananias;24;RN;;1,0;1,0;;1,0;;;1,0;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;1,0;;1,0;;2;;1,0;1,0;;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;;
24020915;ESC MUL OLINTO MOREIRA DO NASCIMENTO;2414100;Tenente Ananias;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;1,0;;1,0;;1,0;;7;;1,0;;1,0;;1,0;1,0;;;;1,0;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;1,0;;;5,1
24066427;ESC MUL ANA REGINA ALVES FERNANDES;2414100;Tenente Ananias;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;1,0;;1,0;;1,0;;5;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;1,0;;;4,5
24084069;ESC MUL FRANCISCA MARIA DA SILVEIRA SANTOS;2414100;Tenente Ananias;24;RN;1,0;;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;1,0;;1,0;;1,0;;5;;1,0;1,0;;;1,0;1,0;;;;1,0;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;1,0;;4,0;
24020745;UNIDADE DE ENSINO AREAMIRO GOMES DA SILVEIRA;2414100;Tenente Ananias;24;RN;;1,0;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;1,0;;;1,0;1,0;;;1,0;2;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;;
24020990;UNIDADE DE ENSINO FRANCISCA VALENTINA DA CONCEICAO;2414100;Tenente Ananias;24;RN;;1,0;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;1,0;;1,0;;2;;1,0;1,0;;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;;
24020664;ESCOLA ESTADUAL DEMOCRITO DE SOUSA - ENSINO FUNDAMENTAL E MEDIO;2414100;Tenente Ananias;24;RN;1,0;;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;;1,0;1,0;;;1,0;;1,0;8;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;;1,0;3,6000000000000005;
24002402;EE PROF JOSE F NOBRE ENS 1 2 GRAUS;2408003;Mossoró;24;RN;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;;1,0;;1,0;;1,0;1,0;;;1,0;9;;1,0;;1,0;;1,0;;1,0;;;1,0;;1,0;;1,0;;;;1,0;;8;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;;1,0;;1,0;;
24001155;CE INTEGRADA PROF ELISEU VIANA;2408003;Mossoró;24;RN;1,0;;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;;1,0;22;;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;;1,0;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;
24069736;ESCOLA ESTADUAL NOSSA SENHORA DE FATIMA;2408003;Mossoró;24;RN;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;1,0;;1,0;;;1,0;6;;1,0;;1,0;;1,0;1,0;;;;1,0;;1,0;;1,0;;;;1,0;;4;1,0;;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;;1,0;;
24003670;INSTITUTO AQUARELA;2408003;Mossoró;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;1,0;;;1,0;6;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;6;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;;1,0;1,0;;;
24087718;SEI INSTITUTO EDUCACIONAL SARAIVA;2408003;Mossoró;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;1,0;;1,0;;1;;1,0;1,0;;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;0;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;;
24071870;ESCOLA ESTADUAL ALFA VILLE;2408003;Mossoró;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;;1,0;1,0;;;1,0;8;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;8;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;;1,0;1,0;;;5,1
24002283;ESCOLA ESTADUAL MONSENHOR RAIMUNDO GURGEL;2408003;Mossoró;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;;1,0;1,0;;;1,0;;1,0;10;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;5;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;;1,0;;1,0;4,3;6,0
24003107;ESCOLA MUNICIPAL SINDICALISTA ANTONIO INACIO;2408003;Mossoró;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;1,0;;1,0;;1,0;;6;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;1;1,0;;1,0;;1,0;;1,0;;;1,0;1,0;;;1,0;1,0;;3,6000000000000005;4,8
24002291;EE MOREIRA DIAS ENS FUNDAMENTAL E MEDIO;2408003;Mossoró;24;RN;1,0;;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;1,0;;;1,0;8;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;8;1,0;;1,0;;;1,0;1,0;;;1,0;;1,0;1,0;;;1,0;4,7;
24074772;INSTITUTO APRENDER E CRESCER LTDA;2408003;Mossoró;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;;1,0;;1,0;1,0;;1,0;;1,0;;1,0;;;1,0;7;;1,0;;1,0;;1,0;1,0;;;1,0;;;1,0;;1,0;;;;1,0;;7;1,0;;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;1,0;;;
24072516;ESCOLA MUNICIPAL PROF ALEXANDRE LINHARES;2408003;Mossoró;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;;1,0;1,0;;;1,0;8;1,0;;;1,0;;1,0;;1,0;;1,0;;;1,0;;1,0;;;;1,0;;2;1,0;;1,0;;1,0;;1,0;;;1,0;1,0;;1,0;;;1,0;3,7;4,7
24002712;ESCOLA MUNICIPAL FRANCISCO DE ASSIS BATISTA;2408003;Mossoró;24;RN;;1,0;;1,0;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;;1,0;1,0;;;1,0;7;;1,0;;1,0;;1,0;;1,0;;1,0;;;1,0;;1,0;;;;1,0;;5;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;;1,0;1,0;;4,8;5,9
24068861;EE NOSSA SENHORA DAS GRACAS;2408003;Mossoró;24;RN;;1,0;1,0;;;1,0;1,0;;1,0;;;1,0;;1,0;;1,0;1,0;;1,0;;1,0;;;1,0;5;;1,0;;1,0;;1,0;1,0;;;1,0;;;;1,0;1,0;;;;1,0;;4;;1,0;;1,0;1,0;;;1,0;;1,0;;1,0;;1,0;;1,0;;5,6
